测试环境业务系统端口开通,测试环境业务系统端口开通,测试环境业务系统端口开通,测试环境业务系统端口开通,测试环境业务系统端口开通,测试环境业务系统端口开通,测试环境业务系统端口开通
test-HDSP3,10.2.8.35,汇联易正式机,API,"https://opendocs.huilianyi.com/

生产
token：https://console.huilianyi.com/oauth/token?grant_type=client_credentials&scope=write
header:Authorization=Basic ZmY4NDY5M2EtYWNkNC00YmFjLTk2MzItYzFkZTNmZTY1Njg3Ok1HRmxaREUzTjJFdE1HSmpOaTAwWWpVeExXSXlOekl0WVdNM1pqbGtZek5sTmpNeA==",,
test-HDSP1,10.2.8.33,EHR正式机,API,https://openapi.italent.cn/token,,"正式环境连接器
Key：6E4EF01938A84B1E914DD39551B08182
Secret：35D0335A61FC4D759634AFF783D73FAE5C34C5FA85B84DBC8B3E4A3837D0DB91"
test-HDSP2,10.2.8.34,EHR正式机,API,https://openapi.italent.cn/token,,"正式环境连接器
Key：6E4EF01938A84B1E914DD39551B08182
Secret：35D0335A61FC4D759634AFF783D73FAE5C34C5FA85B84DBC8B3E4A3837D0DB91"
test-HDSP3,10.2.8.35,EHR正式机,API,https://openapi.italent.cn/token,,"正式环境连接器
Key：6E4EF01938A84B1E914DD39551B08182
Secret：35D0335A61FC4D759634AFF783D73FAE5C34C5FA85B84DBC8B3E4A3837D0DB91"
test-HDSP1,10.2.8.33,ERP-SAP测试机,10.1.1.39,5912,20251103新增,DB2数据库
test-HDSP2,10.2.8.34,ERP-SAP测试机,10.1.1.39,5912,20251103新增,DB2数据库
test-HDSP3,10.2.8.35,ERP-SAP测试机,10.1.1.39,5912,20251103新增,DB2数据库
test-HDSP1,10.2.8.33,ERP-BPC正式机,10.1.1.223,30015,20251103新增,HANA数据库
test-HDSP2,10.2.8.34,ERP-BPC正式机,10.1.1.223,30015,20251103新增,HANA数据库
test-HDSP3,10.2.8.35,ERP-BPC正式机,10.1.1.223,30015,20251103新增,HANA数据库
test-HDSP1,10.2.8.33,APS二期测试机,10.2.8.51,1433,20251120新增,
test-HDSP2,10.2.8.34,APS二期测试机,10.2.8.51,1433,20251120新增,
test-HDSP3,10.2.8.35,APS二期测试机,10.2.8.51,1433,20251120新增,
test-HDSP1,10.2.8.33,BI正式机1,10.1.1.72,3306,20251209新增,
test-HDSP2,10.2.8.34,BI正式机1,10.1.1.72,3306,20251209新增,
test-HDSP3,10.2.8.35,BI正式机1,10.1.1.72,3306,20251209新增,
test-HDSP1,10.2.8.33,BI正式机2,10.1.1.183,1433,20251209新增,
test-HDSP2,10.2.8.34,BI正式机2,10.1.1.183,1433,20251209新增,
test-HDSP3,10.2.8.35,BI正式机2,10.1.1.183,1433,20251209新增,
正式环境业务系统端口开通,正式环境业务系统端口开通,正式环境业务系统端口开通,正式环境业务系统端口开通,正式环境业务系统端口开通,正式环境业务系统端口开通,正式环境业务系统端口开通
源服务器名称,源服务器IP,目标服务器名称,数据库服务器IP,数据库访问端口,数据库服务器IP,数据库访问端口
HONE-BACKEND1,10.1.20.154,OA正式机,10.1.1.30,1433,,
HONE-BACKEND2,10.1.20.155,OA正式机,10.1.1.30,1433,,
HONE-BACKEND3,10.1.20.156,OA正式机,10.1.1.30,1433,,
HONE-BACKEND4,10.1.20.157,OA正式机,10.1.1.30,1433,,
HONE-BACKEND5,10.1.20.158,OA正式机,10.1.1.30,1433,,
HONE-DS1,10.1.20.159,OA正式机,10.1.1.30,1433,,
HONE-DS2,10.1.20.160,OA正式机,10.1.1.30,1433,,
HONE-DS3,10.1.20.161,OA正式机,10.1.1.30,1433,,
HONE-BACKEND1,10.1.20.154,PLM正式机,10.2.1.162,1433,,
HONE-BACKEND2,10.1.20.155,PLM正式机,10.2.1.162,1433,,
HONE-BACKEND3,10.1.20.156,PLM正式机,10.2.1.162,1433,,
HONE-BACKEND4,10.1.20.157,PLM正式机,10.2.1.162,1433,,
HONE-BACKEND5,10.1.20.158,PLM正式机,10.2.1.162,1433,,
HONE-DS1,10.1.20.159,PLM正式机,10.2.1.162,1433,,
HONE-DS2,10.1.20.160,PLM正式机,10.2.1.162,1433,,
HONE-DS3,10.1.20.161,PLM正式机,10.2.1.162,1433,,
HONE-BACKEND1,10.1.20.154,MES正式机,10.2.1.100,1433,,
HONE-BACKEND2,10.1.20.155,MES正式机,10.2.1.100,1433,,
HONE-BACKEND3,10.1.20.156,MES正式机,10.2.1.100,1433,,
HONE-BACKEND4,10.1.20.157,MES正式机,10.2.1.100,1433,,
HONE-BACKEND5,10.1.20.158,MES正式机,10.2.1.100,1433,,
HONE-DS1,10.1.20.159,MES正式机,10.2.1.100,1433,,
HONE-DS2,10.1.20.160,MES正式机,10.2.1.100,1433,,
HONE-DS3,10.1.20.161,MES正式机,10.2.1.100,1433,,
HONE-BACKEND1,10.1.20.154,WMS正式机,10.2.1.183,5432,,
HONE-BACKEND2,10.1.20.155,WMS正式机,10.2.1.183,5432,,
HONE-BACKEND3,10.1.20.156,WMS正式机,10.2.1.183,5432,,
HONE-BACKEND4,10.1.20.157,WMS正式机,10.2.1.183,5432,,
HONE-BACKEND5,10.1.20.158,WMS正式机,10.2.1.183,5432,,
HONE-DS1,10.1.20.159,WMS正式机,10.2.1.183,5432,,
HONE-DS2,10.1.20.160,WMS正式机,10.2.1.183,5432,,
HONE-DS3,10.1.20.161,WMS正式机,10.2.1.183,5432,,
HONE-BACKEND1,10.1.20.154,EAM正式机,10.2.1.148,1433,,
HONE-BACKEND2,10.1.20.155,EAM正式机,10.2.1.148,1433,,
HONE-BACKEND3,10.1.20.156,EAM正式机,10.2.1.148,1433,,
HONE-BACKEND4,10.1.20.157,EAM正式机,10.2.1.148,1433,,
HONE-BACKEND5,10.1.20.158,EAM正式机,10.2.1.148,1433,,
HONE-DS1,10.1.20.159,EAM正式机,10.2.1.148,1433,,
HONE-DS2,10.1.20.160,EAM正式机,10.2.1.148,1433,,
HONE-DS3,10.1.20.161,EAM正式机,10.2.1.148,1433,,
HONE-BACKEND1,10.1.20.154,QMS正式机,10.2.1.224,3306,,
HONE-BACKEND2,10.1.20.155,QMS正式机,10.2.1.224,3306,,
HONE-BACKEND3,10.1.20.156,QMS正式机,10.2.1.224,3306,,
HONE-BACKEND4,10.1.20.157,QMS正式机,10.2.1.224,3306,,
HONE-BACKEND5,10.1.20.158,QMS正式机,10.2.1.224,3306,,
HONE-DS1,10.1.20.159,QMS正式机,10.2.1.224,3306,,
HONE-DS2,10.1.20.160,QMS正式机,10.2.1.224,3306,,
HONE-DS3,10.1.20.161,QMS正式机,10.2.1.224,3306,,
HONE-BACKEND1,10.1.20.154,ERP-SAP正式机,10.1.1.200,3301,,
HONE-BACKEND2,10.1.20.155,ERP-SAP正式机,10.1.1.200,3301,,
HONE-BACKEND3,10.1.20.156,ERP-SAP正式机,10.1.1.200,3301,,
HONE-BACKEND4,10.1.20.157,ERP-SAP正式机,10.1.1.200,3301,,
HONE-BACKEND5,10.1.20.158,ERP-SAP正式机,10.1.1.200,3301,,
HONE-DS1,10.1.20.159,ERP-SAP正式机,10.1.1.200,3301,,
HONE-DS2,10.1.20.160,ERP-SAP正式机,10.1.1.200,3301,,
HONE-DS3,10.1.20.161,ERP-SAP正式机,10.1.1.200,3301,,
HONE-BACKEND1,10.1.20.154,ERP-BPC正式机,10.1.1.189,3300,,
HONE-BACKEND2,10.1.20.155,ERP-BPC正式机,10.1.1.189,3300,,
HONE-BACKEND3,10.1.20.156,ERP-BPC正式机,10.1.1.189,3300,,
HONE-BACKEND4,10.1.20.157,ERP-BPC正式机,10.1.1.189,3300,,
HONE-BACKEND5,10.1.20.158,ERP-BPC正式机,10.1.1.189,3300,,
HONE-DS1,10.1.20.159,ERP-BPC正式机,10.1.1.189,3300,,
HONE-DS2,10.1.20.160,ERP-BPC正式机,10.1.1.189,3300,,
HONE-DS3,10.1.20.161,ERP-BPC正式机,10.1.1.189,3300,,
HONE-BACKEND1,10.1.20.154,SRM正式机,10.2.1.145,3306,mysql5.7,
HONE-BACKEND2,10.1.20.155,SRM正式机,10.2.1.145,3306,mysql5.7,
HONE-BACKEND3,10.1.20.156,SRM正式机,10.2.1.145,3306,mysql5.7,
HONE-BACKEND4,10.1.20.157,SRM正式机,10.2.1.145,3306,mysql5.7,
HONE-BACKEND5,10.1.20.158,SRM正式机,10.2.1.145,3306,mysql5.7,
HONE-DS1,10.1.20.159,SRM正式机,10.2.1.145,3306,mysql5.7,
HONE-DS2,10.1.20.160,SRM正式机,10.2.1.145,3306,mysql5.7,
HONE-DS3,10.1.20.161,SRM正式机,10.2.1.145,3306,mysql5.7,
HONE-BACKEND1,10.1.20.154,APS正式机,10.2.1.139 ,1433,,
HONE-BACKEND2,10.1.20.155,APS正式机,10.2.1.139 ,1433,,
HONE-BACKEND3,10.1.20.156,APS正式机,10.2.1.139 ,1433,,
HONE-BACKEND4,10.1.20.157,APS正式机,10.2.1.139 ,1433,,
HONE-BACKEND5,10.1.20.158,APS正式机,10.2.1.139 ,1433,,
HONE-DS1,10.1.20.159,APS正式机,10.2.1.139 ,1433,,
HONE-DS2,10.1.20.160,APS正式机,10.2.1.139 ,1433,,
HONE-DS3,10.1.20.161,APS正式机,10.2.1.139 ,1433,,
HONE-BACKEND1,10.1.20.154,BI正式机1,10.1.1.72,3306,mysql5.7,
HONE-BACKEND2,10.1.20.155,BI正式机1,10.1.1.72,3306,mysql5.7,
HONE-BACKEND3,10.1.20.156,BI正式机1,10.1.1.72,3306,mysql5.7,
HONE-BACKEND4,10.1.20.157,BI正式机1,10.1.1.72,3306,mysql5.7,
HONE-BACKEND5,10.1.20.158,BI正式机1,10.1.1.72,3306,mysql5.7,
HONE-DS1,10.1.20.159,BI正式机1,10.1.1.72,3306,mysql5.7,
HONE-DS2,10.1.20.160,BI正式机1,10.1.1.72,3306,mysql5.7,
HONE-DS3,10.1.20.161,BI正式机1,10.1.1.72,3306,mysql5.7,
HONE-BACKEND1,10.1.20.154,BI正式机2,10.1.1.183,1433,sql server,
HONE-BACKEND2,10.1.20.155,BI正式机2,10.1.1.183,1433,sql server,
HONE-BACKEND3,10.1.20.156,BI正式机2,10.1.1.183,1433,sql server,
HONE-BACKEND4,10.1.20.157,BI正式机2,10.1.1.183,1433,sql server,
HONE-BACKEND5,10.1.20.158,BI正式机2,10.1.1.183,1433,sql server,
HONE-DS1,10.1.20.159,BI正式机2,10.1.1.183,1433,sql server,
HONE-DS2,10.1.20.160,BI正式机2,10.1.1.183,1433,sql server,
HONE-DS3,10.1.20.161,BI正式机2,10.1.1.183,1433,sql server,
HONE-BACKEND1,10.1.20.154,汇联易正式机,API,"https://opendocs.huilianyi.com/

生产
token：https://console.huilianyi.com/oauth/token?grant_type=client_credentials&scope=write
header:Authorization=Basic ZmY4NDY5M2EtYWNkNC00YmFjLTk2MzItYzFkZTNmZTY1Njg3Ok1HRmxaREUzTjJFdE1HSmpOaTAwWWpVeExXSXlOekl0WVdNM1pqbGtZek5sTmpNeA==",,
HONE-BACKEND2,10.1.20.155,汇联易正式机,API,"https://opendocs.huilianyi.com/

生产
token：https://console.huilianyi.com/oauth/token?grant_type=client_credentials&scope=write
header:Authorization=Basic ZmY4NDY5M2EtYWNkNC00YmFjLTk2MzItYzFkZTNmZTY1Njg3Ok1HRmxaREUzTjJFdE1HSmpOaTAwWWpVeExXSXlOekl0WVdNM1pqbGtZek5sTmpNeA==",,
HONE-BACKEND3,10.1.20.156,汇联易正式机,API,"https://opendocs.huilianyi.com/

生产
token：https://console.huilianyi.com/oauth/token?grant_type=client_credentials&scope=write
header:Authorization=Basic ZmY4NDY5M2EtYWNkNC00YmFjLTk2MzItYzFkZTNmZTY1Njg3Ok1HRmxaREUzTjJFdE1HSmpOaTAwWWpVeExXSXlOekl0WVdNM1pqbGtZek5sTmpNeA==",,
HONE-BACKEND4,10.1.20.157,汇联易正式机,API,"https://opendocs.huilianyi.com/

生产
token：https://console.huilianyi.com/oauth/token?grant_type=client_credentials&scope=write
header:Authorization=Basic ZmY4NDY5M2EtYWNkNC00YmFjLTk2MzItYzFkZTNmZTY1Njg3Ok1HRmxaREUzTjJFdE1HSmpOaTAwWWpVeExXSXlOekl0WVdNM1pqbGtZek5sTmpNeA==",,
HONE-BACKEND5,10.1.20.158,汇联易正式机,API,"https://opendocs.huilianyi.com/

生产
token：https://console.huilianyi.com/oauth/token?grant_type=client_credentials&scope=write
header:Authorization=Basic ZmY4NDY5M2EtYWNkNC00YmFjLTk2MzItYzFkZTNmZTY1Njg3Ok1HRmxaREUzTjJFdE1HSmpOaTAwWWpVeExXSXlOekl0WVdNM1pqbGtZek5sTmpNeA==",,
HONE-DS1,10.1.20.159,汇联易正式机,API,"https://opendocs.huilianyi.com/

生产
token：https://console.huilianyi.com/oauth/token?grant_type=client_credentials&scope=write
header:Authorization=Basic ZmY4NDY5M2EtYWNkNC00YmFjLTk2MzItYzFkZTNmZTY1Njg3Ok1HRmxaREUzTjJFdE1HSmpOaTAwWWpVeExXSXlOekl0WVdNM1pqbGtZek5sTmpNeA==",,
HONE-DS2,10.1.20.160,汇联易正式机,API,"https://opendocs.huilianyi.com/

生产
token：https://console.huilianyi.com/oauth/token?grant_type=client_credentials&scope=write
header:Authorization=Basic ZmY4NDY5M2EtYWNkNC00YmFjLTk2MzItYzFkZTNmZTY1Njg3Ok1HRmxaREUzTjJFdE1HSmpOaTAwWWpVeExXSXlOekl0WVdNM1pqbGtZek5sTmpNeA==",,
HONE-DS3,10.1.20.161,汇联易正式机,API,"https://opendocs.huilianyi.com/

生产
token：https://console.huilianyi.com/oauth/token?grant_type=client_credentials&scope=write
header:Authorization=Basic ZmY4NDY5M2EtYWNkNC00YmFjLTk2MzItYzFkZTNmZTY1Njg3Ok1HRmxaREUzTjJFdE1HSmpOaTAwWWpVeExXSXlOekl0WVdNM1pqbGtZek5sTmpNeA==",,
HONE-BACKEND1,10.1.20.154,EHR正式机,API,https://openapi.italent.cn/token,,"正式环境连接器
Key：6E4EF01938A84B1E914DD39551B08182
Secret：35D0335A61FC4D759634AFF783D73FAE5C34C5FA85B84DBC8B3E4A3837D0DB91"
HONE-BACKEND2,10.1.20.155,EHR正式机,API,https://openapi.italent.cn/token,,"正式环境连接器
Key：6E4EF01938A84B1E914DD39551B08182
Secret：35D0335A61FC4D759634AFF783D73FAE5C34C5FA85B84DBC8B3E4A3837D0DB91"
HONE-BACKEND3,10.1.20.156,EHR正式机,API,https://openapi.italent.cn/token,,"正式环境连接器
Key：6E4EF01938A84B1E914DD39551B08182
Secret：35D0335A61FC4D759634AFF783D73FAE5C34C5FA85B84DBC8B3E4A3837D0DB91"
HONE-BACKEND4,10.1.20.157,EHR正式机,API,https://openapi.italent.cn/token,,"正式环境连接器
Key：6E4EF01938A84B1E914DD39551B08182
Secret：35D0335A61FC4D759634AFF783D73FAE5C34C5FA85B84DBC8B3E4A3837D0DB91"
HONE-BACKEND5,10.1.20.158,EHR正式机,API,https://openapi.italent.cn/token,,"正式环境连接器
Key：6E4EF01938A84B1E914DD39551B08182
Secret：35D0335A61FC4D759634AFF783D73FAE5C34C5FA85B84DBC8B3E4A3837D0DB91"
HONE-DS1,10.1.20.159,EHR正式机,API,https://openapi.italent.cn/token,,"正式环境连接器
Key：6E4EF01938A84B1E914DD39551B08182
Secret：35D0335A61FC4D759634AFF783D73FAE5C34C5FA85B84DBC8B3E4A3837D0DB91"
HONE-DS2,10.1.20.160,EHR正式机,API,https://openapi.italent.cn/token,,"正式环境连接器
Key：6E4EF01938A84B1E914DD39551B08182
Secret：35D0335A61FC4D759634AFF783D73FAE5C34C5FA85B84DBC8B3E4A3837D0DB91"
HONE-DS3,10.1.20.161,EHR正式机,API,https://openapi.italent.cn/token,,"正式环境连接器
Key：6E4EF01938A84B1E914DD39551B08182
Secret：35D0335A61FC4D759634AFF783D73FAE5C34C5FA85B84DBC8B3E4A3837D0DB91"
HONE-BACKEND1,10.1.20.154,ERP-SAP正式机,10.1.1.203,5912,20251103新增,DB2数据库
HONE-BACKEND2,10.1.20.155,ERP-SAP正式机,10.1.1.203,5912,20251103新增,DB2数据库
HONE-BACKEND3,10.1.20.156,ERP-SAP正式机,10.1.1.203,5912,20251103新增,DB2数据库
HONE-BACKEND4,10.1.20.157,ERP-SAP正式机,10.1.1.203,5912,20251103新增,DB2数据库
HONE-BACKEND5,10.1.20.158,ERP-SAP正式机,10.1.1.203,5912,20251103新增,DB2数据库
HONE-DS1,10.1.20.159,ERP-SAP正式机,10.1.1.203,5912,20251103新增,DB2数据库
HONE-DS2,10.1.20.160,ERP-SAP正式机,10.1.1.203,5912,20251103新增,DB2数据库
HONE-DS3,10.1.20.161,ERP-SAP正式机,10.1.1.203,5912,20251103新增,DB2数据库
HONE-BACKEND1,10.1.20.154,ERP-BPC正式机,10.1.1.223,30015,20251103新增,HANA数据库
HONE-BACKEND2,10.1.20.155,ERP-BPC正式机,10.1.1.223,30015,20251103新增,HANA数据库
HONE-BACKEND3,10.1.20.156,ERP-BPC正式机,10.1.1.223,30015,20251103新增,HANA数据库
HONE-BACKEND4,10.1.20.157,ERP-BPC正式机,10.1.1.223,30015,20251103新增,HANA数据库
HONE-BACKEND5,10.1.20.158,ERP-BPC正式机,10.1.1.223,30015,20251103新增,HANA数据库
HONE-DS1,10.1.20.159,ERP-BPC正式机,10.1.1.223,30015,20251103新增,HANA数据库
HONE-DS2,10.1.20.160,ERP-BPC正式机,10.1.1.223,30015,20251103新增,HANA数据库
HONE-DS3,10.1.20.161,ERP-BPC正式机,10.1.1.223,30015,20251103新增,HANA数据库
