源系统,源系统负责人,数据需求,对象类型,"数据库对象编码
（数据库.表、数据库.视图...）",数据库对象名称,字段需求（包含）,计划完成时间,实际完成时间,授权状态,"需求
提出人","入湖
负责人",开发复核负责人,备注,用户数据需求问题,用户数据需求问题反馈,中台ods表名,全量/增量,源系统抽取条件,增量方式,更新频率,任务,同步父任务流,"测试环境数据量
（同时标注时长超过5分钟的）"
"OA
仅对接生产",陈海棠,渠道商退出申请流程,视图,dbo.View_fformtable_main_1087,流程  渠道商退出申请流程,,,,已授权（生产环境）,陈迎颖,,,,,,,,,,,,,
"OA
仅对接生产",陈海棠,营销事件申请报表,,,,,,,未开始,陈迎颖,,,,,,,,,,,,,
"OA
仅对接生产",陈海棠,非协议印章使用审核审批流程,,,,,,,未开始,陈迎颖,,,,,,,,,,,,,
"OA
仅对接生产",陈海棠,国际渠道商费用补贴申请,,,,,,,未开始,陈迎颖,,,,,,,,,,,,,
"OA
仅对接生产",陈海棠,国内渠道商费用补贴申请,,,,,,,未开始,陈迎颖,,,,,,,,,,,,,
PLM,刘培,用户表,表,pdm11.WTUser,"用户表
PDM基础表注释.xlsx",,2025-10-31 00:00:00,2025-11-04 00:00:00,已入湖（开发复核通过）,许凯文,蔡岸榕,赵彦,name字段中有json，json内容为表的id，读取时去掉大括号内容@蔡工说的,缺少字段注释、缺少状态字段（是否禁用、是否启用）,"idA2A2-主键
disabled-状态（0-正常，1-删除）
idA3domainRef-组织
name-账号
fullName-全名
last-姓氏",ods_plm_wtuser_df,全量,,,T+1,ods_plm_wtuser_df,,0.2万
PLM,刘培,角色表,表,pdm11.WTGroup,组表,,2025-10-31 00:00:00,2025-11-04 00:00:00,已入湖（开发复核通过）,许凯文,蔡岸榕,赵彦,,,,,,,,,,,5万
PLM,刘培,用户角色关联表,表,pdm11.MembershipLink,组用户关联表,,2025-10-31 00:00:00,2025-11-04 00:00:00,已入湖（开发复核通过）,许凯文,蔡岸榕,赵彦,,,,,,,,,,,20万
PLM,刘培,标准BOM部件表,表,pdm11.WTPart,标准BOM部件表,,2025-11-04 00:00:00,2025-11-06 00:00:00,已入湖（开发复核通过）,邵炜杰,蔡岸榕,赵彦,,,,,,,,,,,134万
PLM,刘培,部件主数据表,表,pdm11.WTPartMaster,部件主数据表,,2025-11-04 00:00:00,2025-11-06 00:00:00,已入湖（开发复核通过）,邵炜杰,蔡岸榕,赵彦,,,,,,,,,,,32万
PLM,刘培,部件使用关系表(BOM),表,pdm11.WTPartUsageLink,部件使用关系表(BOM),,2025-11-04 00:00:00,2025-11-06 00:00:00,已入湖（开发复核通过）,邵炜杰,蔡岸榕,赵彦,,,,,,,,,,,731万
PLM,刘培,物料主数据信息,视图,pdm11.View_Unilumin_Hone_Parts_Classification,物料主数据信息,,2025-11-24 00:00:00,2025-11-24 00:00:00,已入湖（开发复核通过）,邵炜杰,谭程俊,赵彦,,,,ods_plm_view_unilumin_hone_parts_classification_df,全量,,,t+1,ods_plm_view_unilumin_hone_parts_classification_df,,69149
PLM,刘培,标准BOM,表,"plm.plm_bom_item
（plm更改bom后，主动推送至数据中台hone_mysql库plm_bom_item表。数据中台需完成从hone_mysql抽取至hone_starrocks）",标品标准BOM信息,,2025-11-24 00:00:00,,已入湖（测试）,"邵炜杰
刘洋",谭程俊,刘洋,,,,ods_plm_bom_item_df,全量,,,t+1,ods_plm_bom_item_df,,70万
PLM,,,,,,,,,,,,,,,,,,,,,,,
"EHR
仅对接生产",张丽婷,组织,API,"组织：https://open.italent.cn/?_qrt=html&_qsrcapp=LandingSiteMenu&quark_s=d592236e3c6cfd694e54a023088d1f03a9d0ba0a3432dac166346d99ad7500d4#/open-document?menu=document-center&current=3&pageSize=100&quark_s=e678e3fac5421480f8043ee24c6fe047e6c44cd5aca19737019e4ebe2eb9c05e&id=dc1e628c-21a6-49cc-ae0c-7fc4a037d1bd
请求地址：openapi.italent.cn/TenantBaseExternal/api/v5/Organization/GetByTimeWindow",组织单元,,2025-10-31 00:00:00,2025-11-04 00:00:00,已入湖（测试）,许凯文,赵彦,刘洋,记录数据型（从2022年1月起）,,,ods.ods_ehr_organization_di,增量,,近10天,,,,2602
"EHR
仅对接生产",张丽婷,人员,API,"人员：https://open.italent.cn/?_qsrcapp=LandingSiteMenu&_qrt=html&quark_s=dbb3c549a93d6a2ed8824d9d3f29fd32ed0874e3128e4a331d423264b3503ef1#/open-document?menu=document-center&current=3&pageSize=100&id=c2914b12-20f3-459e-99f9-fcd0c539d6d8&quark_s=31a706433119dd968196f2d92c8021a4d324003a3a09e5ed8d1855834eb989c8
请求地址：openapi.italent.cn/TenantBaseExternal/api/v5/Employee/GetListByTimeWindow",员工与任职,,2025-10-31 00:00:00,2025-11-04 00:00:00,已入湖（测试）,许凯文,赵彦,刘洋,记录数据型（从2022年1月起）,,,"ods.ods_ehr_emp_employeeinfo_di
ods.ods_ehr_emp_recordinfo_di",增量,,近10天,,,,40230（去重后）
"EHR
仅对接生产",张丽婷,岗位,API,"职务：https://open.italent.cn/?_qrt=html&_qsrcapp=LandingSiteMenu&quark_s=d592236e3c6cfd694e54a023088d1f03a9d0ba0a3432dac166346d99ad7500d4#/open-document?menu=document-center&current=3&pageSize=100&quark_s=e678e3fac5421480f8043ee24c6fe047e6c44cd5aca19737019e4ebe2eb9c05e&id=7c19ab15-5aa0-4268-9f72-3984566aa911
请求地址：openapi.italent.cn/TenantBaseExternal/api/v5/JobPost/GetByTimeWindow",职务,,2025-10-31 00:00:00,2025-11-04 00:00:00,已入湖（测试）,许凯文,赵彦,刘洋,记录数据型（从2022年1月起）,,,ods.ods_ehr_jobpost_di,增量,,近10天,,,,3401
"EHR
仅对接生产",张丽婷,人员来源,API,"API说明：https://open.italent.cn/?_qsrcapp=LandingSiteMenu&_qrt=html&quark_s=dbb3c549a93d6a2ed8824d9d3f29fd32ed0874e3128e4a331d423264b3503ef1#/open-document?menu=document-center&current=3&pageSize=100&id=ced39adc-5aec-4fdd-ba5e-cbd0abf7654c&quark_s=31a706433119dd968196f2d92c8021a4d324003a3a09e5ed8d1855834eb989c8
请求地址：
openapi.italent.cn/TenantBaseExternal/api/v5/EmploymentSource/GetByTimeWindow",人员来源,,,,,,,,,,,,,,,,,,
"EHR
仅对接生产",张丽婷,人员异动/调动记录,,,,,,,未开始,陈迎颖,,,,,,,,,,,,,
"MES
【大亚湾显示屏】
mes_xsp_sqlserver",尚恒志,用户表,视图,dbo.View_SysUser,,,2025-10-31 00:00:00,2025-11-04 00:00:00,已入湖（测试）,许凯文,李朝中,,,缺少字段注释、缺少状态字段（是否禁用、是否启用，userstatus是否为状态字段，userstatus为空是否代表账号禁用）,"MES人员字段注释

userstatus仅代表在职、离职状态，不限制账号是否禁用",ods_mes_xsp_view_sysuser_df,,,,,ods_mes_xsp_view_sysuser_df,,11045
"MES
【大亚湾显示屏】
mes_xsp_sqlserver",尚恒志,角色表,视图,dbo.View_SysUserGroup,,,2025-10-31 00:00:00,2025-11-04 00:00:00,已入湖（测试）,许凯文,李朝中,,,,,ods_mes_xsp_view_sysusergroup_df,全量,,,,ods_mes_xsp_view_sysusergroup_df,,142
"MES
【大亚湾显示屏】
mes_xsp_sqlserver",尚恒志,用户角色关联表,视图,dbo.View_SysUser_UserGroup,,,2025-10-31 00:00:00,2025-11-04 00:00:00,已入湖（测试）,许凯文,李朝中,,,,,ods_mes_xsp_view_sysuser_usergroup_df,全量,,,,ods_mes_xsp_view_sysuser_usergroup_df,,15672
"MES
【南昌显示屏】
mes_xspnc_sqlserver",尚恒志,用户表,视图,dbo.View_SysUser,,,2025-12-12 00:00:00,,已入湖（测试）,郑日天,李朝中,,,,,ods_mes_xspnc_view_sysuser_df,全量,,,,ods_mes_xspnc_view_sysuser_df,,11045
"MES
【南昌显示屏】
mes_xspnc_sqlserver",尚恒志,角色表,视图,dbo.View_SysUserGroup,,,2025-12-12 00:00:00,,已入湖（测试）,郑日天,李朝中,,,,,ods_mes_xspnc_view_sysusergroup_df,全量,,,,ods_mes_xspnc_view_sysusergroup_df,,142
"MES
【南昌显示屏】
mes_xspnc_sqlserver",尚恒志,用户角色关联表,视图,dbo.View_SysUser_UserGroup,,,2025-12-12 00:00:00,,已入湖（测试）,郑日天,李朝中,,,,,ods_mes_xspnc_view_sysuser_usergroup_df,全量,,,,ods_mes_xspnc_view_sysuser_usergroup_df,,15672
"MES
【中山照明】
mes_zm_sqlserver",尚恒志,用户表,视图,dbo.View_SysUser,,,2025-12-12 00:00:00,,已入湖（测试）,郑日天,李朝中,,,,,ods_mes_zm_view_sysuser_df,全量,,,,ods_mes_zm_view_sysuser_df,,11045
"MES
【中山照明】
mes_zm_sqlserver",尚恒志,角色表,视图,dbo.View_SysUserGroup,,,2025-12-12 00:00:00,,已入湖（测试）,郑日天,李朝中,,,,,ods_mes_zm_view_sysusergroup_df,全量,,,,ods_mes_zm_view_sysusergroup_df,,142
"MES
【中山照明】
mes_zm_sqlserver",尚恒志,用户角色关联表,视图,dbo.View_SysUser_UserGroup,,,2025-12-12 00:00:00,,已入湖（测试）,郑日天,李朝中,,,,,ods_mes_zm_view_sysuser_usergroup_df,全量,,,,ods_mes_zm_view_sysuser_usergroup_df,,15672
"MES
【Mini制造部】
mes_mini_sqlserver",郭平,用户表,视图,dbo.View_SysUser,,,2025-12-12 00:00:00,,已入湖（测试）,郑日天,李朝中,,,,,ods_mes_mini_view_sysuser_df,全量,,,,ods_mes_mini_view_sysuser_df,,11045
"MES
【Mini制造部】
mes_mini_sqlserver",郭平,角色表,视图,dbo.View_SysUserGroup,,,2025-12-12 00:00:00,,已入湖（测试）,郑日天,李朝中,,,,,ods_mes_mini_view_sysusergroup_df,全量,,,,ods_mes_mini_view_sysusergroup_df,,142
"MES
【Mini制造部】
mes_mini_sqlserver",郭平,用户角色关联表,视图,dbo.View_SysUser_UserGroup,,,2025-12-12 00:00:00,,已入湖（测试）,郑日天,李朝中,,,,,ods_mes_mini_view_sysuser_usergroup_df,全量,,,,ods_mes_mini_view_sysuser_usergroup_df,,15672
WMS,谢思思,用户表,视图,public.vw_zmzt_user,,,2025-10-31 00:00:00,2025-11-06 00:00:00,已入湖（测试）,许凯文,蔡岸榕,李朝中,,缺少字段注释、缺少状态字段（是否禁用、是否启用，status是否为状态字段）,"提供字段定义视图
vw_zmzt_view_definition",,,,,,,,470
WMS,谢思思,角色表,视图,public.vw_zmzt_role,,,2025-10-31 00:00:00,2025-11-06 00:00:00,已入湖（测试）,许凯文,蔡岸榕,李朝中,,,,,,,,,,,15
WMS,谢思思,用户角色关联表,视图,public.vw_zmzt_user_role,,,2025-10-31 00:00:00,2025-11-06 00:00:00,已入湖（测试）,许凯文,蔡岸榕,李朝中,,,,,,,,,,,510
WMS,谢思思,视图字段定义,视图,vw_zmzt_view_definition,,,2025-11-19 00:00:00,,暂时用不到,许凯文,谭程俊,,"只用于补充注释
test_wms_vw_zmzt_view_definition临时导测试表拿注释",,,,,,,,,,
"EAM
仅对接生产",严智轩,用户表,视图,dbo.View_Employee,人员信息表,,2025-10-31 00:00:00,2025-11-04 00:00:00,已入湖（测试）,许凯文,蔡岸榕,李朝中,,"缺少字段注释、缺少状态字段（是否禁用、是否启用，status是否为状态字段，status字段1和2分别代表什么含义）
IsDelete字段0和1分别代表什么","Status 1 在职      2 离职

 EAM人员字段注释",,,,,,,,6138
"EAM
仅对接生产",严智轩,角色表（若无则可不提供）,视图,dbo.View_FormDefinitionAuthGroup,自定义表单角色（系统标准表单无角色可配置）,,2025-10-31 00:00:00,2025-11-04 00:00:00,已入湖（测试）,许凯文,蔡岸榕,李朝中,,,,,,,,,,,163
"EAM
仅对接生产",严智轩,角色表（若无则可不提供）,视图,dbo.View_FormDefinitionAuthGroupPermission,自定义表单角色用户绑定,,2025-10-31 00:00:00,2025-11-04 00:00:00,已入湖（测试）,许凯文,蔡岸榕,李朝中,,,,,,,,,,,2913
"EAM
仅对接生产",严智轩,用户角色关联表,视图,dbo.View_vMenu,菜单表,,2025-10-31 00:00:00,2025-11-04 00:00:00,已入湖（测试）,许凯文,蔡岸榕,李朝中,,,,,,,,,,,253
"EAM
仅对接生产",严智轩,用户角色关联表,视图,dbo.View_xEmployeeMenu,人员菜单关联表,,2025-10-31 00:00:00,2025-11-04 00:00:00,已入湖（测试）,许凯文,蔡岸榕,李朝中,,,,,,,,,,,20920
"QMS
仅对接生产",陈雁灿,用户表、用户角色关联表,视图,qms.View_User,,,2025-10-31 00:00:00,2025-11-04 00:00:00,已入湖（测试）,许凯文,蔡岸榕,李朝中,acu_roles字段有json，需要解析匹配角色表,"缺少状态字段（是否禁用、是否启用）
ACU_Valid
0：未启用
1：启用
表里没有ACU_Valid这个字段","ACU_Valid
0：未启用
1：启用",,,,,,,,12070
"QMS
仅对接生产",陈雁灿,角色表,视图,qms.View_Roles,,,2025-10-31 00:00:00,2025-11-04 00:00:00,已入湖（测试）,许凯文,蔡岸榕,李朝中,,,,,,,,,,,17
"SAP-ERP
(SAPPRD)
集团号：800",熊生压,用户表,视图,USER_ADDR,,,2025-10-31 00:00:00,2025-11-06 00:00:00,已入湖（测试）,许凯文,蔡岸榕,谭程俊,,"缺少状态字段（是否禁用、是否启用）
表里没有USR02-UFLAG这个字段","USR02-UFLAG
新增USR02表授权
禁用标识释义：
0：未锁定
32：被管理员全局锁定
64：被管理员本地锁定
128：因不正确登录（限制条款）而被锁定",,,,,,,,429
"SAP-ERP
(SAPPRD)
集团号：800",熊生压,角色表,表,AGR_DEFINE,角色定义,,2025-10-31 00:00:00,2025-11-06 00:00:00,已入湖（测试）,许凯文,蔡岸榕,谭程俊,,,,,,,,,,,11718
"SAP-ERP
(SAPPRD)
集团号：800",熊生压,用户角色关联表,表,AGR_USERS,分配角色到用户,,2025-10-31 00:00:00,2025-11-06 00:00:00,已入湖（测试）,许凯文,蔡岸榕,谭程俊,,,,,,,,,,,7472
"SAP-ERP
(SAPPRD)
集团号：800",熊生压,个人（办公地址管理）,表,ADRP,个人（办公地址管理）,,2025-10-31 00:00:00,2025-11-11 00:00:00,暂时用不到,许凯文,蔡岸榕,,,,,,,,,,,,13773
"SAP-ERP
(SAPPRD)
集团号：800",熊生压,个人/地址分配 (业务地址服务),表,ADCP,个人/地址分配 (业务地址服务),,2025-10-31 00:00:00,2025-11-11 00:00:00,暂时用不到,许凯文,蔡岸榕,,,,,,,,,,,,13775
"SAP-ERP
(SAPPRD)
集团号：800",熊生压,分配用户名称地址码,表,USR21,分配用户名称地址码,,2025-10-31 00:00:00,2025-11-11 00:00:00,暂时用不到,许凯文,蔡岸榕,,,,,,,,,,,,443
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,,,,,,,,暂时用不到,陈迎颖,,,,,,,,,,,,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,,,,,,,,暂时用不到,陈迎颖,,,,,,,,,,,,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,ZSD158B【销售跟踪报表】,,,,,,,未开始,陈迎颖,,,,,,,,,,,,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,ZSD004【销售订单明细】,,,,,,,未开始,陈迎颖,,,,,,,,,,,,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,ZSD139【B2B出货业绩报表】,,,,,,,未开始,陈迎颖,,,,,,,,,,,,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,,,,,,,,暂时用不到,陈迎颖,,,,,,,,,,,,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,,,,,,,,暂时用不到,陈迎颖,,,,,,,,,,,,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,,,,,,,,未开始,,,,,,,,,,,,,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,,,,,,,,未开始,,,,,,,,,,,,,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,,,,,,,,未开始,,,,,,,,,,,,,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,ZMM028G【库存账龄表】,,,,,,,暂时用不到,许凯文,赵彦,,"ZMM028G:
（1）MD81现货单取自定义表ZTMDTAB-zname_res责任人文本展示到ZMM028G的VORNA业务员字段；（2）其余订单取VBPA表PARVW=VE的PERNR数据，PERNR反查pa0002-nachn+pa0002-vorna拼接展示到ZMM028G的VORNA业务员字段",,,,,,,,,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,ZFI074【应收账龄报表】,,,,,,,暂时用不到,许凯文,赵彦,,"ZFI074
（1）业务员：订单取VBPA表PARVW=VE的PERNR数据，反查pa0001-sname业务员姓名
（2）跟进人编码/跟进人名称：先按订单取VBPA表PARVW=VE的PERNR数据，反查pa0001-sname业务员姓名，再按订单取ztsd007-pernr+ztsd007-sname取到值做覆盖。
ZTSD007 销售订单与业务员实际关联关系对照表--用ZDI075批导维护",,,,,,,,,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,MD81下单责任人,表,ZTMDTAB,,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（测试）,许凯文,饶嘉璇,谭程俊,,,,,,,,,,,281
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,销售凭证 ： 合作伙伴,表,VBPA,,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（测试）,许凯文,饶嘉璇,谭程俊,考虑加筛选条件，或考虑增量,,,,,,,,,,4811803
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,人力资源主记录:信息类型0001 (原始分配),表,PA0001,,,2025-11-19 00:00:00,2025-11-19 00:00:00,已入湖（测试）,许凯文,谭程俊,蔡岸榕,,,,ods_sap_erp_pa0001_df,全量,MANDT='800',,t+1,ods_sap_erp_pa0001_df,,3929
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,销售订单与业务员实际关联关系对照表,表,ZTSD007,,,2025-11-19 00:00:00,2025-11-19 00:00:00,已入湖（测试）,许凯文,谭程俊,蔡岸榕,,,,ods_sap_erp_ztsd007_df,全量,MANDT='800',,t+1,ods_sap_erp_ztsd007_df,,2858
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,销售订单抬头表,表,VBAK,,,2025-11-14 00:00:00,,已入湖（测试）,吴美琪,李朝中,谭程俊,,,,,,,,,,,342275
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,销售订单行表,表,VBAP,,,2025-11-14 00:00:00,,已入湖（测试）,吴美琪,李朝中,谭程俊,,,,,,,,,,,1098158
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,交货单抬头表,表,LIKP,,,2025-11-14 00:00:00,,已入湖（测试）,吴美琪,李朝中,谭程俊,,,,,,,,,,,478944
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,交货单行表,表,LIPS,,,2025-11-14 00:00:00,,已入湖（测试）,吴美琪,李朝中,谭程俊,,,,,,,,,,,990119
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,客户主数据,表,KNA1,,,2025-11-14 00:00:00,,已入湖（测试）,吴美琪,李朝中,谭程俊,,,,,,,,,,,28006
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,物料主数据,表,ZZMARA,,,2025-11-14 00:00:00,2025-11-12 00:00:00,已入湖（测试）,吴美琪,谭程俊,蔡岸榕,,,,ods_sap_erp_zzmara_df,全量,MANDT='800',,t+1,ods_sap_erp_zzmara_df,,467766
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,业绩分配比例表,表,ZSD_ALLOT,,,2025-11-14 00:00:00,2025-11-12 00:00:00,已入湖（测试）,吴美琪,谭程俊,蔡岸榕,,,,ods_sap_erp_zsd_allot_df,全量,MANDT='800',,t+1,ods_sap_erp_zsd_allot_df,,11619
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,订单审批记录表,表,ZZVBAKAPPR,,,2025-11-14 00:00:00,2025-11-12 00:00:00,已入湖（测试）,吴美琪,谭程俊,蔡岸榕,,,,ods_sap_erp_zzvbakappr_df,全量,MANDT='800',,t+1,ods_sap_erp_zzvbakappr_df,,657304
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,子客合同表,表,ZSD_SUB,,,2025-11-14 00:00:00,2025-11-12 00:00:00,已入湖（测试）,吴美琪,谭程俊,蔡岸榕,,,,ods_sap_erp_zsd_sub_df,全量,MANDT='800',,t+1,ods_sap_erp_zsd_sub_df,,10149
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,手工业绩表,表,ZLAMP_SALES,,,2025-11-14 00:00:00,2025-11-12 00:00:00,已入湖（测试）,吴美琪,谭程俊,蔡岸榕,,,,ods_sap_erp_zlamp_sales_df,全量,MANDT='800',,t+1,ods_sap_erp_zlamp_sales_df,,487
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,科目主数据,表,SKA1,,,2025-11-26 00:00:00,2025-11-26 00:00:00,已入湖（测试）,佘伟萍,谭程俊,蔡岸榕,,,,ods_sap_erp_ska1_df,全量,MANDT='800',,t+1,ods_sap_erp_ska1_df,,18535
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,科目主数据,表,SKAT,科目描述,,2025-11-26 00:00:00,2025-11-26 00:00:00,已入湖（测试）,佘伟萍,谭程俊,蔡岸榕,,,,ods_sap_erp_skat_df,全量,MANDT='800',,t+1,ods_sap_erp_skat_df,,48296
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,常规物料数据,表,MARA,常规物料数据,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（测试）,邵炜杰,蔡岸榕,谭程俊,,,,,,,,,,,536750
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,物料的工厂数据,表,MARC,物料的工厂数据,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（测试）,邵炜杰,蔡岸榕,谭程俊,,,,,,,,,,,845309
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,物料描述,表,MAKT,物料描述,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（测试）,邵炜杰,蔡岸榕,谭程俊,,,,,,,,,,,609629
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,物料评估,表,MBEW,物料评估,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（测试）,邵炜杰,蔡岸榕,谭程俊,,,,,,,,,,,843121
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,采购信息记录 - 一般数据,表,EINA,采购信息记录 - 一般数据,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（测试）,邵炜杰,蔡岸榕,谭程俊,,,,,,,,,,,405057
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,采购信息记录 - 采购组织数据,表,EINE,采购信息记录 - 采购组织数据,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（测试）,邵炜杰,蔡岸榕,谭程俊,,,,,,,,,,,463814
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,采购凭证抬头,表,EKKO,采购凭证抬头,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（测试）,邵炜杰,蔡岸榕,谭程俊,,,,,,,,,,,1109555
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,采购凭证项目,表,EKPO,采购凭证项目,,2025-11-14 00:00:00,2025-11-14 00:00:00,已入湖（测试）,邵炜杰,蔡岸榕,谭程俊,,,,,,,,,,,2379837
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,有效期（采购信息记录）,RFC,"（池表）
RFC：ZFM_QUERY_TABLE
QUERY_TABLE：A018",有效期（采购信息记录）,,2025-11-14 00:00:00,,暂时用不到,邵炜杰,谭程俊,,"（全量ods_sap_erp_zfm_query_table_a018_df，来源是rfc接口json没有表，字段无法映射）

ekko、ekpo中存在即生效，不需要再判断有效期",,,ods_sap_erp_zfm_query_table_a018_df,全量,MANDT='800',,t+1,ods_sap_erp_zfm_query_table_a018_df,,
